"# Channel 1"
"# Trace 1"
Power, Formatted Data, Formatted Data
-1.60000000000E+001, +1.46037601851E+001, +0.00000000000E+000
-1.58000000000E+001, +1.45831910587E+001, +0.00000000000E+000
-1.56000000000E+001, +1.45725738856E+001, +0.00000000000E+000
-1.54000000000E+001, +1.45529744751E+001, +0.00000000000E+000
-1.52000000000E+001, +1.45410048456E+001, +0.00000000000E+000
-1.50000000000E+001, +1.45180292990E+001, +0.00000000000E+000
-1.48000000000E+001, +1.44975395266E+001, +0.00000000000E+000
-1.46000000000E+001, +1.44743576727E+001, +0.00000000000E+000
-1.44000000000E+001, +1.44591127638E+001, +0.00000000000E+000
-1.42000000000E+001, +1.44340990720E+001, +0.00000000000E+000
-1.40000000000E+001, +1.44055948711E+001, +0.00000000000E+000
-1.38000000000E+001, +1.43837568065E+001, +0.00000000000E+000
-1.36000000000E+001, +1.43543138273E+001, +0.00000000000E+000
-1.34000000000E+001, +1.43237403326E+001, +0.00000000000E+000
-1.32000000000E+001, +1.42930165482E+001, +0.00000000000E+000
-1.30000000000E+001, +1.42554433845E+001, +0.00000000000E+000
-1.28000000000E+001, +1.42208278686E+001, +0.00000000000E+000
-1.26000000000E+001, +1.41788581427E+001, +0.00000000000E+000
-1.24000000000E+001, +1.41358944367E+001, +0.00000000000E+000
-1.22000000000E+001, +1.40890067755E+001, +0.00000000000E+000
-1.20000000000E+001, +1.40419188173E+001, +0.00000000000E+000
-1.18000000000E+001, +1.39880927231E+001, +0.00000000000E+000
-1.16000000000E+001, +1.39293572136E+001, +0.00000000000E+000
-1.14000000000E+001, +1.38593143960E+001, +0.00000000000E+000
-1.12000000000E+001, +1.37969197129E+001, +0.00000000000E+000
-1.10000000000E+001, +1.37207607904E+001, +0.00000000000E+000
-1.08000000000E+001, +1.36365843516E+001, +0.00000000000E+000
-1.06000000000E+001, +1.35539087535E+001, +0.00000000000E+000
-1.04000000000E+001, +1.34598141790E+001, +0.00000000000E+000
-1.02000000000E+001, +1.33639823191E+001, +0.00000000000E+000
-1.00000000000E+001, +1.32545058728E+001, +0.00000000000E+000
-9.80000000000E+000, +1.31408923472E+001, +0.00000000000E+000
